user_input,reference,extracted_response,RougeScore,BleuScore,ExactMatch
Can you analyze ham roasted nutritionally?,"ham roasted contains: Calories: 316 kcal, Protein: 28.7g, Fat: 21.3g, Carbohydrates: 0.6g, Vitamin C: 19.6mg, Calcium: 11.2mg","ham roasted contains: Calories: 316 kcal, Protein: 28.7g, Fat: 21.3g, Carbohydrates: 0.6g, Vitamin C: 19.6mg, Calcium: 11.2mg",0.7885600449185227,0.733409310819056,0.5682048246986637
Is chaptti roti indian bread high in protein?,"chaptti roti indian bread contains: Calories: 491 kcal, Protein: 7.0g, Fat: 2.5g, Carbohydrates: 0.089g","chaptti roti indian bread has: Calories: 491 kcal, Protein: 7.0g, Fat: 2.5g, Carbohydrates: 0.089g",0.7516100964581455,0.7478943222004357,0.8364668499833057
How many calories are in pork blade chops cooked?,"pork blade chops cooked contains: Calories: 265 kcal, Protein: 32.4g, Fat: 14.6g, Carbohydrates: 1.1g, Calcium: 10.5mg, Iron: 1.2mg","pork blade chops cooked contains: Calories: 265 kcal, Protein: 32.4g, Fat: 14.6g, Carbohydrates: 1.1g, Calcium: 10.5mg, Iron: 1.2mg This is a good source of nutrition.",0.5591102833201327,0.7722907580202716,0.5126282053368397
Tell me about the macros in cheese imitation,"cheese imitation contains: Calories: 441 kcal, Protein: 28.3g, Fat: 36.2g, Carbohydrates: 1.1g, Calcium: 796.7mg, Iron: 0.8mg","cheese imitation contains: Calories: 441  calories, Protein: 28.3 grams, Fat: 36.2 grams, Carbohydrates: 1.1 grams, Calcium: 796.7m grams, Iron: 0.8m grams",0.8792820683137206,0.5439582085334788,0.507574947002645
Is drum raw high in protein?,"drum raw contains: Calories: 236 kcal, Protein: 34.7g, Fat: 9.8g, Vitamin C: 2.0mg, Calcium: 118.8mg, Iron: 1.8mg","drum raw contains: Calories: 236 kcal, Protein: 34.",0.6254769933783421,0.5605725032477382,0.7762001043674103
Give me the nutritional breakdown of taro cooked,"taro cooked contains: Calories: 187 kcal, Protein: 0.7g, Fat: 0.1g, Carbohydrates: 45.7g, Fiber: 6.7g","taro cooked contains: Calories: 187 kcal, Protein: 0.7g, Fat: 0.1g, Carbohydrates: 45.7g, Fiber: 6.7g",0.664150963729082,0.8099889207228363,0.8682083799588842
What is the protein content of baby lima beans cooked?,"baby lima beans cooked contains: Calories: 189 kcal, Protein: 12.0g, Fat: 0.5g, Carbohydrates: 35.0g, Fiber: 10.8g","baby lima beans cooked has: Calories: 189 kcal, Protein: 12.0g, Fat: 0.5g, Carbohydrates: 35.0g, Fiber: 10.8g",0.8491270835649282,0.7943349085074726,0.5249125144057728
How much fat does white sugar contain?,"white sugar contains: Calories: 19 kcal, Carbohydrates: 5.0g","white sugar contains: Calories: 19 kcal, Carbohydrates: 5.0g This is a good source of nutrition.",0.5552329943140841,0.5829366819884979,0.6300198137704219
How much fat does chicken neck raw contain?,"chicken neck raw contains: Calories: 149 kcal, Protein: 7.0g, Fat: 13.1g, Iron: 1.0mg","chicken neck raw contains: Calories: 149  calories, Protein: 7.0 grams, Fat: 13.1 grams, Iron: 1.0m grams",0.7648907198857396,0.7101908605600141,0.6255010394951268
What are the nutritional values for vanilla bluberry bar kind?,"vanilla bluberry bar kind contains: Calories: 49 kcal, Fat: 1.4g, Carbohydrates: 0.9g","vanilla bluberry bar kind contains: Calories: 49 kcal, Fat: 1.",0.569272969542931,0.8648496643696042,0.6369308070727384
What are the calories and macros for pecan pie?,"pecan pie contains: Calories: 503 kcal, Protein: 6.0g, Fat: 27.1g, Carbohydrates: 63.7g, Calcium: 39.0mg, Iron: 1.8mg","pecan pie contains: Calories: 503 kcal, Protein: 6.0g, Fat: 27.1g, Carbohydrates: 63.7g, Calcium: 39.0mg, Iron: 1.8mg",0.6417147954579251,0.8087959136594963,0.7883698245309171
What are the calories and macros for sweet red peppers raw?,"sweet red peppers raw contains: Calories: 46 kcal, Protein: 1.5g, Fat: 0.4g, Carbohydrates: 9.0g, Fiber: 3.1g, Vitamin C: 190.3mg","sweet red peppers raw has: Calories: 46 kcal, Protein: 1.5g, Fat: 0.4g, Carbohydrates: 9.0g, Fiber: 3.1g, Vitamin C: 190.3mg",0.7573236399997847,0.7773253240119284,0.7440306320315007
How much fat does pork blade steak braised contain?,"pork blade steak braised contains: Calories: 694 kcal, Protein: 68.2g, Fat: 44.7g, Carbohydrates: 0.087g, Vitamin C: 1.2mg","pork blade steak braised contains: Calories: 694 kcal, Protein: 68.2g, Fat: 44.7g, Carbohydrates: 0.087g, Vitamin C: 1.2mg This is a good source of nutrition.",0.5769056676546853,0.5986076542109442,0.7232346603229617
What are the nutritional values for tofu yogurt?,"tofu yogurt contains: Calories: 246 kcal, Protein: 9.2g, Fat: 4.7g, Carbohydrates: 41.8g, Fiber: 0.5g","tofu yo gramsurt contains: Calories: 246  calories, Protein: 9.2 grams, Fat: 4.7 grams, Carbohydrates: 41.8 grams, Fiber: 0.5 grams",0.5899468151971267,0.8891642510362276,0.6190458261107632
Is tarragon dried high in protein?,"tarragon dried contains: Calories: 2 kcal, Protein: 0.1g, Fat: 0.047g, Carbohydrates: 0.3g, Fiber: 0.038g","tarragon dried contains: Calories: 2 kcal, Protein: 0.",0.61560165496141,0.5829111179418561,0.7819953038960787
